id,title,type,release_year,genre,country,duration,rating,description
238,Title 0238,Movie,1979,Drama,Sweden,147 min,9.4,A heartwarming story of love and loss set against a modern backdrop.
239,Title 0239,Movie,1974,Fantasy,Spain,138 min,4.6,A gripping tale of the clash of cultures that blends humor and pathos.
240,Title 0240,Movie,1989,Fantasy,Netherlands,177 min,2.6,An intimate portrait of survival in harsh times in a beautifully shot setting.
241,Title 0241,TV Show,1963,Thriller,Canada,6 Seasons,8.1,A high-octane story of the clash of cultures with unexpected twists and heartfelt moments.
242,Title 0242,TV Show,1975,Music|Mystery,Mexico,6 Seasons,4.7,A quirky comedy following the price of fame that blends humor and pathos.
243,Title 0243,TV Show,1971,Drama,Australia,3 Seasons,2.0,An epic saga about friendship and betrayal in a beautifully shot setting.
244,Title 0244,Movie,1997,Mystery,India,170 min,5.2,An emotional journey about love and loss with unexpected twists and heartfelt moments.
245,Title 0245,Movie,2000,Horror,India,144 min,5.3,A high-octane story of family ties with stunning performances.
246,Title 0246,TV Show,1952,History,Germany,7 Seasons,5.4,A documentary exploring a search for identity with unexpected twists and heartfelt moments.
247,Title 0247,Movie,1991,Documentary,Australia,118 min,6.2,An epic saga about love and loss that blends humor and pathos.
248,Title 0248,TV Show,1968,Music,United Kingdom,7 Seasons,4.4,An epic saga about the price of fame that will keep you on the edge of your seat.
249,Title 0249,TV Show,2022,Action,Sweden,1 Seasons,6.8,A heartwarming story of a search for identity with unexpected twists and heartfelt moments.
250,Title 0250,TV Show,1977,Music,France,1 Seasons,6.1,A gripping tale of love and loss in a beautifully shot setting.
251,Title 0251,Movie,1994,Sci-Fi,Germany,180 min,7.9,An intimate portrait of the clash of cultures that redefines the genre.
252,Title 0252,Movie,2020,Crime,Germany,78 min,9.5,An emotional journey about survival in harsh times that redefines the genre.
253,Title 0253,TV Show,2012,Animation,Netherlands,2 Seasons,7.7,A documentary exploring power and corruption in a beautifully shot setting.
254,Title 0254,Movie,2022,Crime,United Kingdom,127 min,7.6,An epic saga about love and loss that blends humor and pathos.
255,Title 0255,Movie,1968,Comedy,India,138 min,5.4,A gripping tale of friendship and betrayal with unexpected twists and heartfelt moments.
256,Title 0256,Movie,1996,Comedy,United Kingdom,124 min,3.4,A high-octane story of a search for identity that will keep you on the edge of your seat.
257,Title 0257,TV Show,1963,Sci-Fi,Germany,6 Seasons,5.9,A documentary exploring the fight for justice in a beautifully shot setting.
258,Title 0258,TV Show,1987,Mystery,India,4 Seasons,3.8,A heartwarming story of the price of fame with stunning performances.
259,Title 0259,Movie,2002,Animation,France,122 min,3.7,An intimate portrait of friendship and betrayal that blends humor and pathos.
260,Title 0260,Movie,2010,Action,Japan,121 min,6.7,An epic saga about survival in harsh times with stunning performances.
261,Title 0261,Movie,1985,Comedy,Spain,120 min,9.3,A thrilling mystery about a search for identity that blends humor and pathos.
262,Title 0262,TV Show,1989,Drama,France,7 Seasons,2.0,An intimate portrait of survival in harsh times set against a modern backdrop.
263,Title 0263,Movie,1979,Fantasy,Japan,156 min,3.9,An emotional journey about survival in harsh times that blends humor and pathos.
264,Title 0264,Movie,1958,Animation|Drama,United States,175 min,5.7,A thrilling mystery about survival in harsh times that will keep you on the edge of your seat.
265,Title 0265,TV Show,2013,Animation,Canada,5 Seasons,4.7,An emotional journey about a search for identity that will keep you on the edge of your seat.
266,Title 0266,TV Show,1982,Action,Sweden,2 Seasons,6.7,A high-octane story of power and corruption with stunning performances.
267,Title 0267,TV Show,2001,Music,Netherlands,7 Seasons,9.3,A sci-fi adventure about friendship and betrayal with unexpected twists and heartfelt moments.
268,Title 0268,TV Show,1963,Documentary,India,2 Seasons,2.6,A documentary exploring love and loss with stunning performances.
269,Title 0269,Movie,2024,Comedy,Spain,120 min,2.1,A gripping tale of family ties set against a modern backdrop.
270,Title 0270,Movie,2002,History|Music,Canada,97 min,9.5,A sci-fi adventure about power and corruption set against a modern backdrop.
271,Title 0271,TV Show,2008,Romance,United States,1 Seasons,7.7,A quirky comedy following the fight for justice in a beautifully shot setting.
272,Title 0272,TV Show,1990,Mystery,United Kingdom,3 Seasons,9.0,An epic saga about a coming-of-age moment with stunning performances.
273,Title 0273,TV Show,2017,Family,Italy,2 Seasons,7.4,An emotional journey about a coming-of-age moment in a beautifully shot setting.
274,Title 0274,TV Show,2017,Animation|Drama,Brazil,6 Seasons,9.3,A documentary exploring love and loss that redefines the genre.
275,Title 0275,Movie,1957,Drama,United States,162 min,3.9,An epic saga about the fight for justice that redefines the genre.
276,Title 0276,Movie,1951,Comedy|Sci-Fi,Brazil,116 min,6.5,An epic saga about the price of fame set against a modern backdrop.
277,Title 0277,TV Show,1990,Animation|Documentary,United Kingdom,6 Seasons,6.9,A quirky comedy following love and loss in a beautifully shot setting.
278,Title 0278,Movie,2004,Animation,South Korea,142 min,4.5,A thrilling mystery about the fight for justice in a beautifully shot setting.
279,Title 0279,TV Show,1965,Romance,Japan,1 Seasons,7.8,A documentary exploring the clash of cultures that redefines the genre.
280,Title 0280,TV Show,2011,Music,Brazil,7 Seasons,6.1,An emotional journey about a search for identity that blends humor and pathos.
281,Title 0281,TV Show,1997,Action,France,3 Seasons,8.0,An epic saga about survival in harsh times that redefines the genre.
282,Title 0282,Movie,1979,Fantasy,Japan,87 min,2.1,A heartwarming story of the fight for justice that blends humor and pathos.
283,Title 0283,Movie,1961,Thriller,France,94 min,2.0,A thrilling mystery about love and loss with unexpected twists and heartfelt moments.
284,Title 0284,Movie,1984,Crime,Netherlands,85 min,2.4,An epic saga about the price of fame set against a modern backdrop.
285,Title 0285,Movie,1960,Comedy,France,91 min,9.0,An emotional journey about power and corruption with stunning performances.
286,Title 0286,Movie,2013,Family,United States,117 min,5.1,A sci-fi adventure about a search for identity in a beautifully shot setting.
287,Title 0287,Movie,1999,Comedy|Crime,France,167 min,1.5,A thrilling mystery about the fight for justice with stunning performances.
288,Title 0288,Movie,1970,Drama,Australia,88 min,6.4,A sci-fi adventure about love and loss with unexpected twists and heartfelt moments.
289,Title 0289,Movie,2018,Animation,South Korea,136 min,4.7,A high-octane story of family ties that blends humor and pathos.
290,Title 0290,Movie,1997,Action,Sweden,146 min,4.8,An emotional journey about power and corruption with stunning performances.
291,Title 0291,Movie,1969,Thriller,United Kingdom,178 min,2.6,An intimate portrait of the clash of cultures that will keep you on the edge of your seat.
292,Title 0292,Movie,2016,Horror,Sweden,161 min,2.9,A documentary exploring the clash of cultures in a beautifully shot setting.
293,Title 0293,TV Show,1993,Crime,South Korea,7 Seasons,5.7,A gripping tale of the clash of cultures that blends humor and pathos.
294,Title 0294,Movie,1982,Mystery,Australia,164 min,8.4,A gripping tale of family ties with unexpected twists and heartfelt moments.
295,Title 0295,Movie,2022,Music,Australia,98 min,2.8,A thrilling mystery about power and corruption set against a modern backdrop.
296,Title 0296,Movie,2010,Fantasy,India,93 min,1.8,A sci-fi adventure about the fight for justice set against a modern backdrop.
297,Title 0297,TV Show,1958,Mystery,Spain,5 Seasons,7.1,A gripping tale of the price of fame that blends humor and pathos.
298,Title 0298,Movie,2017,Action,France,95 min,1.8,A heartwarming story of a coming-of-age moment with unexpected twists and heartfelt moments.
299,Title 0299,Movie,1984,Thriller,Australia,85 min,2.3,A thrilling mystery about the clash of cultures in a beautifully shot setting.
300,Title 0300,Movie,2014,History,United States,154 min,3.5,A quirky comedy following family ties with stunning performances.
301,Title 0301,Movie,1957,Drama,Spain,159 min,5.7,An emotional journey about love and loss that redefines the genre.
302,Title 0302,Movie,1994,Horror,Japan,109 min,6.2,A sci-fi adventure about a coming-of-age moment that redefines the genre.
303,Title 0303,Movie,1996,Action,Mexico,130 min,2.9,A documentary exploring the price of fame with unexpected twists and heartfelt moments.
304,Title 0304,Movie,1989,Comedy,Australia,160 min,6.0,A sci-fi adventure about a coming-of-age moment in a beautifully shot setting.
305,Title 0305,TV Show,2003,Romance,United States,1 Seasons,4.5,A high-octane story of the fight for justice in a beautifully shot setting.
306,Title 0306,TV Show,1995,Drama,Canada,2 Seasons,5.7,An intimate portrait of survival in harsh times with stunning performances.
307,Title 0307,Movie,1996,Music,Australia,75 min,5.3,An intimate portrait of power and corruption set against a modern backdrop.
308,Title 0308,Movie,1964,Sci-Fi,Brazil,123 min,3.1,A heartwarming story of family ties that will keep you on the edge of your seat.
309,Title 0309,TV Show,1968,Family,Brazil,7 Seasons,7.8,A high-octane story of a search for identity in a beautifully shot setting.
310,Title 0310,Movie,1975,Crime|Music,Germany,169 min,4.4,An emotional journey about the fight for justice with stunning performances.
311,Title 0311,Movie,2001,Drama,France,115 min,3.1,A gripping tale of a coming-of-age moment set against a modern backdrop.
312,Title 0312,Movie,1971,Animation,France,156 min,4.1,A sci-fi adventure about the fight for justice that blends humor and pathos.
313,Title 0313,Movie,1970,Horror|Romance,United Kingdom,96 min,4.1,A heartwarming story of friendship and betrayal with unexpected twists and heartfelt moments.
314,Title 0314,TV Show,2000,Music,Italy,4 Seasons,6.3,An epic saga about power and corruption set against a modern backdrop.
315,Title 0315,TV Show,1987,Fantasy,United Kingdom,4 Seasons,5.3,A high-octane story of the fight for justice in a beautifully shot setting.
316,Title 0316,TV Show,1969,Family,United Kingdom,3 Seasons,9.5,A heartwarming story of love and loss that blends humor and pathos.
317,Title 0317,Movie,1978,Action,Germany,156 min,8.7,A quirky comedy following the price of fame in a beautifully shot setting.
318,Title 0318,Movie,2000,Comedy,South Korea,119 min,7.8,A documentary exploring survival in harsh times with stunning performances.
319,Title 0319,Movie,1953,Thriller,Brazil,93 min,4.2,A quirky comedy following survival in harsh times set against a modern backdrop.
320,Title 0320,Movie,2004,Romance,Canada,172 min,1.6,A quirky comedy following the clash of cultures that will keep you on the edge of your seat.
321,Title 0321,Movie,2020,Music,Spain,155 min,6.0,An emotional journey about family ties with stunning performances.
322,Title 0322,TV Show,1977,Sci-Fi,Japan,6 Seasons,6.4,A sci-fi adventure about the clash of cultures that redefines the genre.
323,Title 0323,TV Show,1953,History,Netherlands,7 Seasons,2.4,A sci-fi adventure about the clash of cultures with unexpected twists and heartfelt moments.
324,Title 0324,Movie,1971,Crime,Germany,135 min,3.0,A quirky comedy following a coming-of-age moment set against a modern backdrop.
325,Title 0325,TV Show,1994,Sci-Fi,Spain,1 Seasons,7.5,An intimate portrait of love and loss in a beautifully shot setting.
326,Title 0326,TV Show,2016,Family|Thriller,United Kingdom,1 Seasons,8.2,An intimate portrait of a coming-of-age moment that redefines the genre.
327,Title 0327,Movie,2015,Drama,Germany,86 min,5.0,An intimate portrait of the price of fame that blends humor and pathos.
328,Title 0328,Movie,1983,Animation,Italy,149 min,3.6,A documentary exploring the fight for justice that redefines the genre.
329,Title 0329,Movie,2004,Family,Mexico,148 min,2.0,A gripping tale of a coming-of-age moment with stunning performances.
330,Title 0330,Movie,1950,Crime,Canada,139 min,9.0,A thrilling mystery about the clash of cultures that redefines the genre.
331,Title 0331,Movie,2021,Documentary,United States,118 min,5.1,An epic saga about the price of fame with stunning performances.
332,Title 0332,TV Show,1987,Mystery,United Kingdom,2 Seasons,3.5,A documentary exploring family ties set against a modern backdrop.
333,Title 0333,Movie,1955,Mystery,Japan,153 min,2.8,An epic saga about a search for identity in a beautifully shot setting.
334,Title 0334,Movie,1974,Documentary,Germany,127 min,1.6,A thrilling mystery about love and loss that redefines the genre.
335,Title 0335,Movie,1966,Music,Germany,155 min,1.7,A sci-fi adventure about friendship and betrayal with stunning performances.
336,Title 0336,Movie,2010,Crime,Germany,146 min,8.1,An emotional journey about power and corruption set against a modern backdrop.
337,Title 0337,TV Show,1961,Crime,France,7 Seasons,3.8,An intimate portrait of love and loss that blends humor and pathos.
